cluster,application_name,packages.dependencies.hip.version,Avg time/rank (exc)
tuolumne,amg2023,6.4.2,0.6058354646999999
tuolumne,amg2023,7.2.0,1.1922059115
tioga,amg2023,7.2.0,0.4708554475199999
tioga,amg2023,7.2.0,0.5992522596
tuolumne,amg2023,7.2.0,1.8456536406
tuolumne,amg2023,6.4.2,0.7088655496
tioga,amg2023,7.2.0,0.31537195221
tioga,amg2023,7.2.0,0.33605981716
tuolumne,amg2023,6.4.2,0.5896980164000001
tioga,amg2023,6.4.2,0.397345406
tioga,amg2023,6.4.2,0.32081747181
tuolumne,amg2023,7.2.0,1.5649368493
tioga,amg2023,6.4.2,0.45944454361
tuolumne,amg2023,6.4.2,1.11215961905
tuolumne,amg2023,7.2.0,0.5544746074
tuolumne,amg2023,7.2.0,0.5623834099
tioga,amg2023,6.4.2,0.43391945539
tioga,amg2023,6.4.2,0.28390926867
tioga,amg2023,7.2.0,0.3443253109599999
tuolumne,amg2023,6.4.2,0.7914630497999999
tuolumne,kripke,7.2.0,0.537934446
tuolumne,kripke,7.2.0,0.395432001
tuolumne,kripke,6.4.2,0.4295660699999999
tioga,kripke,7.2.0,0.80482327
tuolumne,kripke,7.2.0,0.962149026
tioga,kripke,6.4.2,0.8971638070000001
tuolumne,kripke,7.2.0,1.044357043
tioga,kripke,6.4.2,0.797681721
tioga,kripke,7.2.0,0.68112235
tioga,kripke,6.4.2,0.692107397
tuolumne,kripke,6.4.2,0.596295178
tioga,kripke,7.2.0,0.79538013
tioga,kripke,6.4.2,0.752253808
tioga,kripke,7.2.0,0.68033193
tioga,kripke,6.4.2,0.758464907
tioga,kripke,7.2.0,0.82662845
tuolumne,kripke,7.2.0,0.512043546
tuolumne,kripke,6.4.2,0.335240491
tuolumne,kripke,6.4.2,0.398098223
tuolumne,kripke,6.4.2,0.468905413
tuolumne,laghos,6.4.2,91.523641
tioga,laghos,7.2.0,55.069933000000006
tioga,laghos,7.2.0,49.03298099999999
tuolumne,laghos,6.4.2,81.748335
tioga,laghos,6.4.2,52.455034999999995
tuolumne,laghos,7.2.0,93.373124
tioga,laghos,6.4.2,51.408353
tioga,laghos,6.4.2,48.065189
tioga,laghos,7.2.0,58.688958
tioga,laghos,6.4.2,54.14813600000001
tioga,laghos,7.2.0,53.384348
tioga,laghos,7.2.0,48.069998000000005
tuolumne,laghos,6.4.2,86.194086
tuolumne,laghos,7.2.0,89.578034
tuolumne,laghos,7.2.0,86.435767
tuolumne,laghos,6.4.2,75.073989
tuolumne,laghos,7.2.0,94.197219
tioga,laghos,6.4.2,51.225679
tuolumne,laghos,6.4.2,76.154549
tuolumne,laghos,7.2.0,87.28020699999999
tioga,lammps,7.2.0,2.221
tioga,lammps,7.2.0,2.1934
tioga,lammps,7.2.0,2.1688
tioga,lammps,7.2.0,2.1917
tioga,lammps,7.2.0,2.1959
tioga,lammps,6.4.2,2.5441
tioga,lammps,6.4.2,2.5294
tioga,lammps,6.4.2,2.5688
tioga,lammps,6.4.2,2.5484
tioga,lammps,6.4.2,2.4771
tuolumne,lammps,7.2.0,1.0585
tuolumne,lammps,7.2.0,1.1193
tuolumne,lammps,7.2.0,1.0993
tuolumne,lammps,7.2.0,1.0938
tuolumne,lammps,7.2.0,1.1207
tuolumne,lammps,6.4.2,2.1174
tuolumne,lammps,6.4.2,2.545
tuolumne,lammps,6.4.2,1.9187
tuolumne,lammps,6.4.2,2.1097
tuolumne,lammps,6.4.2,2.5941
